ObjectName,R,G,B
SM_Road_SprayPaint_21_inst_67_CitySample_HLOD0_00000000d5bcf363,159,127,95
SM_Road_SprayPaint_22_inst_68_CitySample_HLOD0_00000000d5bcf363,159,191,255
SM_Road_SprayPaint_23_inst_69_CitySample_HLOD0_00000000d5bcf363,159,191,127
SM_Round_Manhole_Cover_00_inst_70_CitySample_HLOD0_00000000d5bcf363,159,191,191
SM_Round_Manhole_Cover_01_inst_71_CitySample_HLOD0_00000000d5bcf363,159,191,95
SM_Round_Manhole_Cover_02_inst_72_CitySample_HLOD0_00000000d5bcf363,159,95,255
SM_White_Line_00_inst_2_73_CitySample_HLOD0_00000000d5bcf363,159,95,127
SM_White_Line_00_inst_74_CitySample_HLOD0_00000000d5bcf363,159,95,191
SM_White_Road_Line_00_inst_2_75_CitySample_HLOD0_00000000d5bcf363,159,95,95
SM_White_Road_Line_00_inst_76_CitySample_HLOD0_00000000d5bcf363,159,255,159
SM_ROAD_19_10_0_0_road_77_CitySample_HLOD0_00000000d5bcf363,159,127,159
SM_ROAD_19_20_0_0_road_78_CitySample_HLOD0_00000000d5bcf363,159,191,159
SM_ROAD_19_3_0_19_crosswalk_79_CitySample_HLOD0_00000000d5bcf363,159,95,159
SM_ROAD_19_5_0_0_road_80_CitySample_HLOD0_00000000d5bcf363,159,159,255
SM_ROAD_19_5_0_19_buffer_81_CitySample_HLOD0_00000000d5bcf363,159,159,127
SM_ROAD_19_5_0_19_meshed_inter_82_CitySample_HLOD0_00000000d5bcf363,159,159,191
SM_ROAD_37_20_0_0_road_83_CitySample_HLOD0_00000000d5bcf363,159,159,95
Modular_Curb_5_M_LOD0_vcflbc0dw_84_CitySample_HLOD0_00000000d5bcf363,159,159,159
Modular_Curb_5_M_LOD0_vcflbc0dw_RED_85_CitySample_HLOD0_00000000d5bcf363,255,255,223
Modular_Curb_5_M_LOD0_vcflbc0dw_WHITE_86_CitySample_HLOD0_00000000d5bcf363,255,127,223
Modular_Curb_5_M_LOD0_vcflbc0dw_YELLOW_87_CitySample_HLOD0_00000000d5bcf363,255,191,223
Modular_Curb_5_M_LOD0_vcjmecpdw_88_CitySample_HLOD0_00000000d5bcf363,255,95,223
Modular_Curb_5_M_LOD0_vcjmecpdw_RED_89_CitySample_HLOD0_00000000d5bcf363,255,159,223
Modular_Curb_5_M_LOD0_vcjmecpdw_WHITE_90_CitySample_HLOD0_00000000d5bcf363,127,255,223
Modular_Curb_5_M_LOD0_vccgfazdw_91_CitySample_HLOD0_00000000d5bcf363,127,127,223
Modular_Curb_5_M_LOD0_vccgfazdw_RED_92_CitySample_HLOD0_00000000d5bcf363,127,191,223
Modular_Curb_5_M_LOD0_vccgfazdw_WHITE_93_CitySample_HLOD0_00000000d5bcf363,127,95,223
SM_Plaza_Square_B_94_CitySample_HLOD0_00000000d5bcf363,127,159,223
SM_Plaza_Square_D_95_CitySample_HLOD0_00000000d5bcf363,191,255,223
SM_Plaza_Square_F_96_CitySample_HLOD0_00000000d5bcf363,191,127,223
SM_Plaza_Square_G_97_CitySample_HLOD0_00000000d5bcf363,191,191,223
SM_Sidewalk_1-5_3_D_98_CitySample_HLOD0_00000000d5bcf363,191,95,223
SM_Sidewalk_1M_square_A_99_CitySample_HLOD0_00000000d5bcf363,191,159,223
SM_Sidewalk_3_3_A_100_CitySample_HLOD0_00000000d5bcf363,95,255,223
SM_Sidewalk_3_3_C_101_CitySample_HLOD0_00000000d5bcf363,95,127,223
SM_Sidewalk_3_3_D_102_CitySample_HLOD0_00000000d5bcf363,95,191,223
SM_Sidewalk_6_3_A_103_CitySample_HLOD0_00000000d5bcf363,95,95,223
SM_Sidewalk_6_3_B_104_CitySample_HLOD0_00000000d5bcf363,95,159,223
SM_Sidewalk_6_3_C_105_CitySample_HLOD0_00000000d5bcf363,159,255,223
SM_Sidewalk_6_3_D_106_CitySample_HLOD0_00000000d5bcf363,159,127,223
SM_Sidewalk_6_3_E_107_CitySample_HLOD0_00000000d5bcf363,159,191,223
SM_Sidewalk_Square_Parking_108_CitySample_HLOD0_00000000d5bcf363,159,95,223
